epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5991,1.84862,2.3931,1.70272,0.39267,0.18345,0.16379,0.0667,1.86893,3.67559,1.89084,0.000329897,0.000329897,0.0673402
2,77.0911,1.75202,1.72925,1.61084,0.614,0.58045,0.62904,0.29378,1.67379,1.68325,1.69518,0.000650098,0.000650098,0.0343271
3,120.469,1.74103,1.66298,1.6117,0.57801,0.57328,0.5954,0.28498,1.71439,1.58351,1.67249,0.0009571,0.0009571,0.00130074
4,163.538,1.68216,1.57402,1.5928,0.62765,0.5882,0.6071,0.28669,1.61181,1.66417,1.63884,0.0009406,0.0009406,0.0009406
5,206.529,1.64706,1.5063,1.56077,0.69868,0.61515,0.68231,0.33794,1.65732,1.45729,1.64716,0.0009208,0.0009208,0.0009208
6,249.731,1.63927,1.43044,1.53127,0.71089,0.60219,0.68059,0.33553,1.63105,1.5487,1.6474,0.000901,0.000901,0.000901
7,292.151,1.63054,1.41041,1.51682,0.75811,0.68594,0.7573,0.37218,1.62614,1.44002,1.67853,0.0008812,0.0008812,0.0008812
8,334.733,1.62596,1.39014,1.50029,0.67423,0.60319,0.68964,0.3592,1.58011,1.41418,1.55936,0.0008614,0.0008614,0.0008614
9,377.328,1.58028,1.35055,1.47332,0.79628,0.67298,0.78555,0.40683,1.55535,1.25221,1.56724,0.0008416,0.0008416,0.0008416
10,420.516,1.59183,1.30203,1.49234,0.79239,0.67597,0.78625,0.41131,1.58606,1.33214,1.63698,0.0008218,0.0008218,0.0008218
11,470.639,1.5533,1.2559,1.46158,0.79178,0.67896,0.79083,0.39437,1.6361,1.23838,1.58955,0.000802,0.000802,0.000802
12,516.412,1.55578,1.25431,1.47186,0.81342,0.74377,0.82959,0.42837,1.57103,1.11461,1.60708,0.0007822,0.0007822,0.0007822
13,559.181,1.55504,1.21353,1.48259,0.79286,0.70219,0.79393,0.39321,1.66173,1.27172,1.6598,0.0007624,0.0007624,0.0007624
14,601.559,1.51254,1.15924,1.43334,0.80115,0.72981,0.82667,0.42243,1.5885,1.14831,1.60555,0.0007426,0.0007426,0.0007426
15,644.461,1.5078,1.1477,1.4435,0.82937,0.74377,0.84225,0.44445,1.54397,1.1145,1.57498,0.0007228,0.0007228,0.0007228
16,687.698,1.49771,1.12659,1.4155,0.85392,0.72881,0.84282,0.44343,1.58807,1.10455,1.59081,0.000703,0.000703,0.000703
17,730.395,1.49019,1.12077,1.41288,0.83393,0.70592,0.81579,0.43458,1.55179,1.12336,1.57289,0.0006832,0.0006832,0.0006832
18,772.475,1.47736,1.08796,1.41311,0.8104,0.72283,0.8088,0.4003,1.6688,1.1726,1.64361,0.0006634,0.0006634,0.0006634
