epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.76233,1.09237,0.94875,1.29612,0.81586,0.28415,0.41933,0.19229,2.08172,3.13891,1.86506,9e-06,9e-06,0.091009
2,11.0525,1.07626,0.80689,1.30586,0.56833,0.26122,0.21635,0.11029,2.06459,5.08541,1.83844,1.82476e-05,1.82476e-05,0.0810182
3,16.2027,1.00759,0.74394,1.25991,0.79266,0.3659,0.33684,0.17491,1.85633,4.50558,1.73421,2.67032e-05,2.67032e-05,0.0710267
4,21.4529,0.97835,0.72554,1.23472,0.83431,0.42672,0.40072,0.21181,1.76015,4.21452,1.68047,3.43668e-05,3.43668e-05,0.0610344
5,26.7874,0.89103,0.6771,1.16676,0.76141,0.51545,0.47533,0.25143,1.75147,3.71613,1.63525,4.12384e-05,4.12384e-05,0.0510412
6,32.1404,0.85653,0.62438,1.13087,0.69932,0.61216,0.56434,0.29522,1.70453,3.15032,1.658,4.7318e-05,4.7318e-05,0.0410473
7,37.6304,0.95715,0.63287,1.24993,0.64538,0.67498,0.61744,0.32048,1.69118,2.758,1.67388,5.26056e-05,5.26056e-05,0.0310526
8,43.2926,0.89541,0.63291,1.19797,0.58435,0.71486,0.65123,0.336,1.6934,2.46869,1.68589,5.71012e-05,5.71012e-05,0.0210571
9,48.8005,0.83885,0.6221,1.17424,0.89052,0.52343,0.67521,0.3478,1.68972,2.21935,1.68614,6.08048e-05,6.08048e-05,0.0110608
10,54.3149,0.7968,0.57059,1.11608,0.87988,0.54774,0.69514,0.35677,1.68828,1.99203,1.69116,6.37164e-05,6.37164e-05,0.00106372
11,59.8866,0.77964,0.55705,1.08784,0.85309,0.56158,0.69907,0.35875,1.69219,1.9139,1.69999,6.04e-05,6.04e-05,6.04e-05
12,65.4351,0.83113,0.57698,1.15395,0.83387,0.58225,0.70869,0.36297,1.68941,1.7782,1.70186,5.644e-05,5.644e-05,5.644e-05
13,71.0735,0.79951,0.59355,1.10101,0.82963,0.59222,0.71591,0.36332,1.68904,1.71348,1.70351,5.248e-05,5.248e-05,5.248e-05
14,76.7843,0.82493,0.59777,1.14137,0.8236,0.59821,0.71569,0.36407,1.69198,1.68587,1.71258,4.852e-05,4.852e-05,4.852e-05
15,82.392,0.82455,0.57595,1.12273,0.82234,0.59994,0.71529,0.3628,1.69252,1.66723,1.71472,4.456e-05,4.456e-05,4.456e-05
16,87.6952,0.74568,0.58755,1.108,0.82132,0.60494,0.71804,0.36172,1.70104,1.60838,1.71882,4.06e-05,4.06e-05,4.06e-05
17,92.9052,0.7622,0.56516,1.11028,0.81444,0.6039,0.71842,0.35929,1.70999,1.5946,1.72466,3.664e-05,3.664e-05,3.664e-05
18,98.1024,0.7461,0.55383,1.06544,0.82365,0.59422,0.71468,0.35733,1.71461,1.60829,1.72703,3.268e-05,3.268e-05,3.268e-05
19,103.372,0.70024,0.51876,1.05262,0.8225,0.59599,0.71204,0.35474,1.71789,1.62137,1.72924,2.872e-05,2.872e-05,2.872e-05
20,108.567,0.69501,0.52839,1.07907,0.80574,0.59821,0.70543,0.35202,1.71971,1.63945,1.7294,2.476e-05,2.476e-05,2.476e-05
21,113.705,0.69453,0.49546,1.0762,0.80925,0.60419,0.70541,0.35127,1.72023,1.65764,1.72833,2.08e-05,2.08e-05,2.08e-05
22,119.013,0.67375,0.49772,1.09651,0.80236,0.59902,0.70204,0.35034,1.72208,1.67577,1.72992,1.684e-05,1.684e-05,1.684e-05
23,124.175,0.7073,0.49908,1.10619,0.80444,0.5988,0.70196,0.35164,1.71982,1.68102,1.72844,1.288e-05,1.288e-05,1.288e-05
24,129.472,0.65574,0.47214,1.06085,0.80281,0.59322,0.70098,0.34985,1.722,1.68284,1.72881,8.92e-06,8.92e-06,8.92e-06
