epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.923,0,17.4104,0,0,0,0,0,0,0,0,0.000329897,0.000329897,0.0673402
2,59.5849,0,0,0,0,0,0,0,0,0,0,0.00059757,0.00059757,0.0342745
3,91.0259,0,0,0,0,0,0,0,0,0,0,0.000799244,0.000799244,0.00114289
4,113.949,0,0,0,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
5,136.674,0,0,0,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
6,159.351,0,0,0,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
7,184.372,0,0,0,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
8,207.241,0,0,0,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
9,229.885,0,0,0,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
10,252.493,0,0,0,0,0,0,0,0,0,0,0.000109,0.000109,0.000109
