epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.67635,1.18262,1.13199,1.35937,0.60083,0.57926,0.50858,0.25847,1.77046,3.17513,1.7586,9e-06,9e-06,0.091009
2,11.8409,0.91151,0.73794,1.18766,0.83721,0.07178,0.06871,0.03618,1.98825,6.27456,1.9175,1.82476e-05,1.82476e-05,0.0810182
3,16.935,0.78763,0.59283,1.11025,0.88889,0.05583,0.05195,0.02941,2.036,6.53135,1.98239,2.67032e-05,2.67032e-05,0.0710267
4,21.9993,0.72735,0.56696,1.08094,0.23322,0.0658,0.04825,0.02895,2.13139,6.51052,2.13843,3.43668e-05,3.43668e-05,0.0610344
5,27.3736,0.64962,0.48274,1.03535,0.04551,0.11466,0.05818,0.03156,2.18855,6.22509,2.26449,4.12384e-05,4.12384e-05,0.0510412
6,33.0059,0.59955,0.47708,1.0193,0.93881,0.06119,0.10538,0.05448,2.0992,5.65315,2.21087,4.7318e-05,4.7318e-05,0.0410473
7,40.193,0.58727,0.44463,0.98523,0.8892,0.07202,0.13358,0.06596,2.077,5.3731,2.19523,5.26056e-05,5.26056e-05,0.0310526
8,48.6193,0.53127,0.39148,0.9679,0.59007,0.1336,0.15248,0.07558,2.05454,5.15915,2.15987,5.71012e-05,5.71012e-05,0.0210571
9,57.0118,0.50735,0.40864,0.95124,0.79236,0.10653,0.18212,0.08984,2.03295,4.9092,2.12742,6.08048e-05,6.08048e-05,0.0110608
10,65.649,0.51524,0.40951,0.95974,0.7609,0.14595,0.21364,0.10604,1.99893,4.52789,2.07577,6.37164e-05,6.37164e-05,0.00106372
11,74.711,0.51289,0.44254,0.97603,0.71708,0.17437,0.22268,0.10799,1.9873,4.32611,2.05462,6.04e-05,6.04e-05,6.04e-05
